IP,NETNAME,ORGANIZATION,COUNTRY,DNS RESOLVE
111.221.64.0-111.221.127.255 (111.221.64.176),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.177),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.178),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.179),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.180),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.181),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.182),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.183),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.184),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.185),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.186),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.187),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.188),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.189),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.190),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.191),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.192),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.193),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.194),Microsoft,Microsoft,US,ae0-471.hkn-96gmr-bspos-1a.ntwk.msn.net
111.221.64.0-111.221.127.255 (111.221.64.195),Microsoft,Microsoft,US,ae0-471.hkn-96gmr-bspos-1b.ntwk.msn.net
111.221.64.0-111.221.127.255 (111.221.64.196),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.197),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.198),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.199),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.200),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.201),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.202),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.203),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.204),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.205),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.206),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.207),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.208),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.209),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.210),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.211),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.212),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.213),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.214),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.215),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.216),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.217),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.218),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.219),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.220),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.221),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.222),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.223),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.224),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.225),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.226),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.227),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.228),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.229),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.230),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.231),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.232),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.233),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.234),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.235),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.236),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.237),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.238),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.239),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.240),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.241),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.242),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.243),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.244),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.245),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.246),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.247),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.248),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.249),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.250),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.251),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.252),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.253),Microsoft,Microsoft,US,
111.221.64.0-111.221.127.255 (111.221.64.254),Microsoft,Microsoft,US,
131.253.40.37,MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.1),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.2),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.3),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.4),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.5),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.6),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.7),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.8),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.9),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.10),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.11),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.12),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.13),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.14),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.15),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.16),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.17),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.18),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.19),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.20),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.21),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.22),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.23),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.24),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.25),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.26),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.27),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.28),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.29),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.30),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.31),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.32),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.33),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.34),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.35),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.36),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.37),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.38),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.39),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.40),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.41),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.42),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.43),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.44),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.45),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.46),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.47),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.48),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.49),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.50),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.51),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.52),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.53),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.54),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.55),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.56),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.57),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.58),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.59),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.60),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.61),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.62),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.63),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.64),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.65),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.66),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.67),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.68),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.69),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.70),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.71),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.72),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.73),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.74),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.75),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.76),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.77),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.78),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.79),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.80),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.81),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.82),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.83),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.84),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.85),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.86),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.87),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.88),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.89),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.90),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.91),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.92),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.93),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.94),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.95),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.96),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.97),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.98),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.99),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.100),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.101),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.102),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.103),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.104),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.105),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.106),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.107),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.108),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.109),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.110),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.111),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.112),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.113),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.114),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.115),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.116),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.117),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.118),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.119),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.120),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.121),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.122),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.123),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.124),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.125),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.126),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.127),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.128),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.129),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.130),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.131),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.132),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.133),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.134),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.135),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.136),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.137),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.138),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.139),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.140),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.141),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.142),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.143),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.144),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.145),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.146),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.147),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.148),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.149),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.150),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.151),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.152),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.153),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.154),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.155),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.156),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.157),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.158),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.159),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.160),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.161),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.162),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.163),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.164),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.165),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.166),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.167),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.168),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.169),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.170),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.171),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.172),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.173),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.174),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.175),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.176),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.177),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.178),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.179),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.180),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.181),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.182),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.183),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.184),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.185),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.186),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.187),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.188),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.189),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.190),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.191),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.192),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.193),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.194),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.195),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.196),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.197),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.198),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.199),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.200),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.201),MICROSOFT,Microsoft Corp (MSFT-Z),US,
131.253.61.0-131.253.61.255 (131.253.61.202),MICROSOFT,Microsoft Corp (MSFT-Z),US,
